user_id,user_name,match_rank,matched_user_id,matched_user_name,final_score,location_score,genre_score,audio_score,role_score,age_score,distance_km,genre_matches,role_matches,age_compatible,matched_location
user_001,The Beatles,1,user_032,Paul McCartney,78.53,100.0,66.67,99.92,12.5,100.0,0.0,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,2,user_033,George Harrison,78.53,100.0,66.67,99.93,12.5,100.0,0.0,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,3,user_034,John Lennon,58.54,100.0,66.67,0.0,12.5,100.0,0.0,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,4,user_035,Ringo Starr,58.54,100.0,66.67,0.0,12.5,100.0,0.0,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,5,user_008,Pink Floyd,35.58,20.0,33.33,0.0,75.0,100.0,286.91,Psychedelic Rock,musician|multi-instrumentalist|songwriter|singer|drummer|guitarist,True,"London, England"
user_001,The Beatles,6,user_005,Elton John,34.54,20.0,66.67,0.0,12.5,100.0,286.91,Rock|Pop,singer,True,"Pinner, England | London, England"
user_001,The Beatles,7,user_086,The Kinks,34.54,20.0,66.67,0.0,12.5,100.0,286.91,Rock|Pop,singer,True,"London, England"
user_001,The Beatles,8,user_087,The Beach Boys,34.54,20.0,66.67,0.0,12.5,100.0,8488.85,Rock|Pop,singer,True,"Hawthorne, California"
user_001,The Beatles,9,user_024,Fleetwood Mac,33.71,20.0,33.33,0.0,62.5,100.0,8470.41,Rock,songwriter|actor|singer|drummer|guitarist,True,"London, England | Los Angeles, California"
user_001,The Beatles,10,user_011,Prince,30.38,20.0,50.0,0.0,12.5,100.0,6178.27,Rock|Pop,singer,True,"Minneapolis, Minnesota"
user_002,Elvis Presley,1,user_035,Ringo Starr,79.64,60.0,66.67,99.86,100.0,100.0,6765.26,Country|Pop,singer,True,"Liverpool, England"
user_002,Elvis Presley,2,user_042,Dolly Parton,65.67,80.0,66.67,0.0,100.0,100.0,316.23,Country|Pop,singer,True,"Sevierville, Tennessee | Nashville, Tennessee"
user_002,Elvis Presley,3,user_043,Johnny Cash,65.67,80.0,66.67,0.0,100.0,100.0,316.23,Country|Rock and Roll,singer,True,"Kingsland, Arkansas | Nashville, Tennessee"
user_002,Elvis Presley,4,user_018,Taylor Swift,61.5,80.0,50.0,0.0,100.0,100.0,316.23,Country|Pop,singer,True,"Reading, Pennsylvania | Nashville, Tennessee"
user_002,Elvis Presley,5,user_040,Tina Turner,55.25,80.0,25.0,0.0,100.0,100.0,387.05,Pop,singer,True,"Nutbush, Tennessee | St. Louis, Missouri"
user_002,Elvis Presley,6,user_004,Madonna,51.33,60.0,33.33,0.0,100.0,100.0,1534.29,Pop,singer,True,"Bay City, Michigan | New York City, New York"
user_002,Elvis Presley,7,user_005,Elton John,51.33,60.0,33.33,0.0,100.0,100.0,7024.76,Pop,singer,True,"Pinner, England | London, England"
user_002,Elvis Presley,8,user_009,Mariah Carey,51.33,60.0,33.33,0.0,100.0,100.0,1534.29,Pop,singer,True,"Huntington, New York | New York City, New York"
user_002,Elvis Presley,9,user_013,David Bowie,51.33,60.0,33.33,0.0,100.0,100.0,7024.76,Pop,singer,True,"London, England"
