user_id,user_name,match_rank,matched_user_id,matched_user_name,match_score,genre_score,role_score,age_score,genre_matches,role_matches,age_compatible,matched_location
user_001,The Beatles,1,user_008,Pink Floyd,63.33,13.33,30.0,20,Psychedelic Rock,songwriter|singer|musician|multi-instrumentalist|guitarist|drummer,True,"London, England"
user_001,The Beatles,2,user_024,Fleetwood Mac,58.33,13.33,25.0,20,Rock,songwriter|singer|actor|guitarist|drummer,True,"London, England | Los Angeles, California"
user_001,The Beatles,3,user_005,Elton John,51.67,26.67,5.0,20,Rock|Pop,singer,True,"Pinner, England | London, England"
user_001,The Beatles,4,user_032,Paul McCartney,51.67,26.67,5.0,20,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,5,user_033,George Harrison,51.67,26.67,5.0,20,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,6,user_034,John Lennon,51.67,26.67,5.0,20,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,7,user_035,Ringo Starr,51.67,26.67,5.0,20,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,8,user_086,The Kinks,51.67,26.67,5.0,20,Rock|Pop,singer,True,"London, England"
user_001,The Beatles,9,user_087,The Beach Boys,51.67,26.67,5.0,20,Rock|Pop,singer,True,"Hawthorne, California"
user_001,The Beatles,10,user_011,Prince,45.0,20.0,5.0,20,Rock|Pop,singer,True,"Minneapolis, Minnesota"
user_002,Elvis Presley,1,user_035,Ringo Starr,86.67,26.67,40.0,20,Country|Pop,singer,True,"Liverpool, England"
user_002,Elvis Presley,2,user_042,Dolly Parton,86.67,26.67,40.0,20,Country|Pop,singer,True,"Sevierville, Tennessee | Nashville, Tennessee"
user_002,Elvis Presley,3,user_043,Johnny Cash,86.67,26.67,40.0,20,Rock and Roll|Country,singer,True,"Kingsland, Arkansas | Nashville, Tennessee"
user_002,Elvis Presley,4,user_018,Taylor Swift,80.0,20.0,40.0,20,Country|Pop,singer,True,"Reading, Pennsylvania | Nashville, Tennessee"
user_002,Elvis Presley,5,user_004,Madonna,73.33,13.33,40.0,20,Pop,singer,True,"Bay City, Michigan | New York City, New York"
user_002,Elvis Presley,6,user_005,Elton John,73.33,13.33,40.0,20,Pop,singer,True,"Pinner, England | London, England"
user_002,Elvis Presley,7,user_009,Mariah Carey,73.33,13.33,40.0,20,Pop,singer,True,"Huntington, New York | New York City, New York"
user_002,Elvis Presley,8,user_013,David Bowie,73.33,13.33,40.0,20,Pop,singer,True,"London, England"
user_002,Elvis Presley,9,user_014,Queen,73.33,13.33,40.0,20,Pop,singer,True,"London, England"
user_002,Elvis Presley,10,user_017,Beyoncé,73.33,13.33,40.0,20,Pop,singer,True,"Houston, Texas"
user_003,Michael Jackson,1,user_009,Mariah Carey,90.0,30.0,40.0,20,R&B|Soul|Pop,singer,True,"Huntington, New York | New York City, New York"
user_003,Michael Jackson,2,user_010,Stevie Wonder,90.0,30.0,40.0,20,R&B|Soul|Pop,singer,True,"Saginaw, Michigan | Detroit, Michigan"
user_003,Michael Jackson,3,user_012,Whitney Houston,90.0,30.0,40.0,20,R&B|Soul|Pop,singer,True,"Newark, New Jersey"
user_003,Michael Jackson,4,user_020,Rihanna,90.0,30.0,40.0,20,R&B|Dance|Pop,singer,True,"Saint Michael, Barbados | New York City, New York"
user_003,Michael Jackson,5,user_040,Tina Turner,90.0,30.0,40.0,20,R&B|Soul|Pop,singer,True,"Nutbush, Tennessee | St. Louis, Missouri"
user_003,Michael Jackson,6,user_041,Diana Ross,90.0,30.0,40.0,20,R&B|Soul|Pop,singer,True,"Detroit, Michigan"
user_003,Michael Jackson,7,user_052,Adele,90.0,30.0,40.0,20,R&B|Soul|Pop,singer,True,"London, England"
user_003,Michael Jackson,8,user_054,Bruno Mars,90.0,30.0,40.0,20,R&B|Soul|Pop,singer,True,"Honolulu, Hawaii | Los Angeles, California"
user_003,Michael Jackson,9,user_004,Madonna,80.0,20.0,40.0,20,Dance|Pop,singer,True,"Bay City, Michigan | New York City, New York"
user_003,Michael Jackson,10,user_011,Prince,80.0,20.0,40.0,20,R&B|Pop,singer,True,"Minneapolis, Minnesota"
user_004,Madonna,1,user_003,Michael Jackson,80.0,20.0,40.0,20,Dance|Pop,singer,True,"Gary, Indiana | Los Angeles, California"
user_004,Madonna,2,user_005,Elton John,73.33,13.33,40.0,20,Pop,singer,True,"Pinner, England | London, England"
user_004,Madonna,3,user_009,Mariah Carey,73.33,13.33,40.0,20,Pop,singer,True,"Huntington, New York | New York City, New York"
user_004,Madonna,4,user_013,David Bowie,73.33,13.33,40.0,20,Pop,singer,True,"London, England"
user_004,Madonna,5,user_014,Queen,73.33,13.33,40.0,20,Pop,singer,True,"London, England"
user_004,Madonna,6,user_028,Radiohead,73.33,13.33,40.0,20,Electronica,singer,True,"Abingdon, England"
user_004,Madonna,7,user_033,George Harrison,73.33,13.33,40.0,20,Pop,singer,True,"Liverpool, England"
user_004,Madonna,8,user_034,John Lennon,73.33,13.33,40.0,20,Pop,singer,True,"Liverpool, England"
