Artist_Name
The Beatles
Elvis Presley
Michael Jackson
Madonna
Elton John
Led Zeppelin
Rolling Stones
Pink Floyd
Mariah Carey
Stevie Wonder
Prince
Whitney Houston
David Bowie
Queen
Bob Dylan
Aretha Franklin
Beyoncé
Taylor Swift
Drake
Rihanna
Eminem
Kanye West
Jay-Z
Fleetwood Mac
AC/DC
Metallica
Nirvana
Radiohead
U2
Bruce Springsteen
Billy Joel
Paul McCartney
George Harrison
John Lennon
Ringo Starr
Frank Sinatra
Ray Charles
Marvin Gaye
James Brown
Tina Turner
Diana Ross
Dolly Parton
Johnny Cash
Willie Nelson
Bob Marley
Jimi Hendrix
Eric Clapton
Carlos Santana
Neil Young
Joni Mitchell
Carole King
Adele
Ed Sheeran
Bruno Mars
Lady Gaga
Katy Perry
Justin Bieber
Ariana Grande
The Weeknd
Post Malone
Kendrick Lamar
J. Cole
Nicki Minaj
Cardi B
Snoop Dogg
Dr. Dre
Tupac Shakur
Notorious B.I.G.
Outkast
Wu-Tang Clan
Public Enemy
Beastie Boys
Red Hot Chili Peppers
Foo Fighters
Green Day
Pearl Jam
Guns N' Roses
Aerosmith
Bon Jovi
Def Leppard
Iron Maiden
Black Sabbath
Deep Purple
The Doors
The Who
The Kinks
The Beach Boys
Simon & Garfunkel
Hall & Oates
Steely Dan
Genesis
Phil Collins
Peter Gabriel
Kate Bush
Björk
Amy Winehouse
Lana Del Rey
Billie Eilish
Dua Lipa
SZA
